stateFips,totalHouseholds,householdIncomeLessThan10000USD,householdIncomeLessThan10000USDPct,householdIncome10000To14999USD,householdIncome10000To14999USDPct,householdIncome15000To24999USD,householdIncome15000To24999USDPct,householdIncome25000To34999USD,householdIncome25000To34999USDPct,householdIncome35000To49999USD,householdIncome35000To49999USDPct,householdIncome50000To74999USD,householdIncome50000To74999USDPct,householdIncome75000To99999USD,householdIncome75000To99999USDPct,householdIncome100000To149999USD,householdIncome100000To149999USDPct,householdIncome150000To199999USD,householdIncome150000To199999USDPct,householdIncomeMoreThan200000USD,householdIncomeMoreThan200000USDPct
44,410885,27976,6.808717768,21929,5.33701644,36858,8.970393176,34083,8.295021721,46730,11.37301191,67856,16.51459654,51575,12.55217397,67321,16.38438979,29091,7.080083235,27466,6.684595446
45,1894711,145418,7.674943567,104615,5.521422528,206482,10.89780975,208181,10.98748041,265401,14.00746605,348661,18.40180376,229417,12.10828459,228671,12.06891183,81237,4.287566811,76628,4.044310715
46,341565,19651,5.75322413,16586,4.855883946,31159,9.122421794,36303,10.6284309,47705,13.96659494,66683,19.52278483,49022,14.35217309,46763,13.69080556,14305,4.188075476,13388,3.919605346
47,2567061,190342,7.414782898,141456,5.510426125,286396,11.15657166,277204,10.7984968,366130,14.26261394,472557,18.40848348,305237,11.89052383,307251,11.96897931,109904,4.28131626,110584,4.307805697
48,9553046,609111,6.376091982,415778,4.352308154,885863,9.273094676,916820,9.597148386,1224162,12.81436308,1695206,17.74518829,1168213,12.22869648,1392056,14.57185488,588275,6.157983537,657562,6.88327053
49,957619,40085,4.185902744,29541,3.084838542,65133,6.801556778,77327,8.074923325,121634,12.70171122,193693,20.22652015,145363,15.17962781,168909,17.63843449,61120,6.382496588,54814,5.72398835
50,259589,12826,4.940887326,13380,5.154301608,24663,9.500787784,24409,9.402940803,33007,12.71509964,48928,18.84825628,36469,14.04874629,39662,15.27876759,13362,5.14736757,12883,4.962845113
51,3128415,165334,5.284912647,114411,3.657155461,231477,7.399178178,241282,7.712595675,353295,11.2930989,523312,16.72770397,404293,12.92325347,524949,16.78003078,255538,8.168289693,314524,10.05378123
53,2800423,144695,5.166898001,95789,3.420518972,203558,7.268830459,219147,7.825496363,330616,11.80593075,496395,17.72571501,381845,13.63526153,478216,17.07656308,215941,7.711013658,234221,8.363772187
54,734676,65896,8.969396033,45760,6.228596007,97188,13.22868856,85510,11.63914433,105770,14.39682254,131734,17.93089743,80561,10.96551405,78775,10.72241369,23866,3.248506825,19616,2.670020526
55,2343129,115992,4.950303632,106603,4.549600129,221665,9.460213245,228062,9.733224248,319732,13.64551418,447485,19.09775347,326010,13.91344651,352887,15.06050243,121032,5.165400625,103661,4.424041527
56,230630,11430,4.955990114,9144,3.964792091,21400,9.278931622,21356,9.259853445,30195,13.09239908,42296,18.3393314,33077,14.34201969,39494,17.12439839,12723,5.516628366,9515,4.125655812
