date,new_deaths,confirmed,people_tested,people_hospitalized,embed_0,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15
2020-04-23,1538.0,168.0,25938.0,0.0,-0.02852886781844449,-0.03435890952811633,-0.05082282376344321,-0.02609120325772168,-0.034042142463344104,-0.039945089587051424,-0.031364026454627665,-0.03708665821817256,-0.015237063424654893,-0.15934369787756078,-0.29672209440422687,-0.019231074989415033,-0.23271792175790668,-0.015236605002105,-0.01926359513921636,-0.2534748813927952
2020-04-24,428.0,8130.0,34736.0,0.0,-0.028100609833841102,-0.03389981127012935,-0.050251834854812945,-0.026266774340391878,-0.03367751992562066,-0.03942371345448429,-0.031033555034612022,-0.036648241906249136,-0.015200321142888844,-0.15946889471746423,-0.2966677292878207,-0.019096752880755814,-0.2327791876582227,-0.015284775370281157,-0.019077978947269144,-0.2535465909364891
2020-04-25,606.0,10553.0,46912.0,0.0,-0.028100609833841102,-0.03389981127012935,-0.050251834854812945,-0.026266774340391878,-0.03367751992562066,-0.03942371345448429,-0.031033555034612022,-0.036648241906249136,-0.015200321142888844,-0.15946889471746423,-0.2966677292878207,-0.019096752880755814,-0.2327791876582227,-0.015284775370281157,-0.019077978947269144,-0.2535465909364891
2020-04-26,267.0,5902.0,27782.0,0.0,-0.028100609833841102,-0.03389981127012935,-0.050251834854812945,-0.026266774340391878,-0.03367751992562066,-0.03942371345448429,-0.031033555034612022,-0.036648241906249136,-0.015200321142888844,-0.15946889471746423,-0.2966677292878207,-0.019096752880755814,-0.2327791876582227,-0.015284775370281157,-0.019077978947269144,-0.2535465909364891
2020-04-27,374.0,3951.0,20745.0,0.0,-0.028100609833841102,-0.03389981127012935,-0.050251834854812945,-0.026266774340391878,-0.03367751992562066,-0.03942371345448429,-0.031033555034612022,-0.036648241906249136,-0.015200321142888844,-0.15946889471746423,-0.2966677292878207,-0.019096752880755814,-0.2327791876582227,-0.015284775370281157,-0.019077978947269144,-0.2535465909364891
2020-04-28,249.0,3110.0,18899.0,7172.0,-0.03090965288401161,-0.036911645344529356,-0.05399639744300195,-0.025104898759510497,-0.03606684567650749,-0.04284348149889409,-0.03319978994491473,-0.039522433495886106,-0.015438184463793279,-0.15862957208591455,-0.29699716098954726,-0.019976637366886985,-0.23235397208921763,-0.014965288349868322,-0.02029398903878587,-0.2530512673440859
2020-04-29,552.0,4585.0,27487.0,1122.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-04-30,104.0,4681.0,28155.0,972.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-01,449.0,3942.0,26802.0,811.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-02,162.0,4663.0,31633.0,710.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
