Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,American Samoa,Northern Mariana Islands,Virgin Islands
2020-05-03,277.0,3.0,276.0,65.0,1490.0,410.0,0.0,170.0,219.0,615.0,334.0,0.0,0.0,0.0,2994.0,638.0,532.0,271.0,251.0,200.0,32.0,989.0,1824.0,594.0,431.0,109.0,169.0,0.0,344.0,83.0,89.0,3028.0,118.0,3438.0,182.0,38.0,579.0,121.0,45.0,755.0,51.0,188.0,137.0,43.0,516.0,997.0,190.0,11.0,934.0,182.0,10.0,304.0,7.0,0.0,0.0,0.0
2020-05-04,226.0,2.0,284.0,54.0,1096.0,283.0,686.0,80.0,154.0,819.0,786.0,0.0,1.0,45.0,2278.0,574.0,528.0,227.0,115.0,333.0,20.0,946.0,1000.0,189.0,571.0,327.0,322.0,2.0,376.0,158.0,70.0,1533.0,181.0,2538.0,201.0,34.0,560.0,72.0,79.0,1574.0,35.0,175.0,131.0,37.0,394.0,766.0,142.0,5.0,821.0,277.0,29.0,272.0,10.0,0.0,0.0,0.0
2020-05-05,317.0,1.0,381.0,34.0,2620.0,449.0,648.0,83.0,152.0,542.0,547.0,0.0,4.0,21.0,2112.0,526.0,408.0,265.0,577.0,323.0,21.0,709.0,1184.0,461.0,617.0,330.0,186.0,-1.0,336.0,30.0,48.0,2332.0,107.0,2239.0,539.0,41.0,495.0,83.0,80.0,1045.0,81.0,281.0,84.0,53.0,119.0,1248.0,132.0,5.0,764.0,132.0,22.0,330.0,8.0,0.0,0.0,0.0
2020-05-06,249.0,2.0,402.0,86.0,2206.0,465.0,374.0,407.0,139.0,563.0,745.0,4.0,1.0,31.0,2343.0,837.0,293.0,345.0,112.0,403.0,28.0,1046.0,1754.0,728.0,728.0,217.0,205.0,0.0,316.0,81.0,105.0,1300.0,153.0,2786.0,543.0,57.0,607.0,75.0,77.0,945.0,44.0,272.0,95.0,59.0,248.0,1088.0,146.0,1.0,0.0,311.0,-4.0,335.0,27.0,0.0,1.0,0.0
2020-05-07,346.0,2.0,238.0,92.0,1624.0,538.0,789.0,161.0,193.0,826.0,875.0,0.0,3.0,20.0,2639.0,633.0,655.0,339.0,195.0,253.0,76.0,1211.0,1696.0,566.0,786.0,262.0,213.0,0.0,645.0,114.0,102.0,2109.0,202.0,3491.0,487.0,48.0,555.0,128.0,73.0,1174.0,63.0,325.0,206.0,126.0,158.0,1019.0,129.0,8.0,1313.0,326.0,45.0,314.0,4.0,0.0,0.0,0.0
2020-05-08,322.0,3.0,581.0,44.0,1674.0,457.0,627.0,172.0,245.0,371.0,563.0,2.0,0.0,0.0,2889.0,643.0,398.0,335.0,159.0,203.0,44.0,1111.0,1612.0,641.0,723.0,404.0,142.0,2.0,484.0,65.0,104.0,1862.0,180.0,2938.0,466.0,54.0,885.0,94.0,79.0,1406.0,125.0,249.0,225.0,239.0,345.0,1286.0,195.0,3.0,772.0,157.0,36.0,375.0,9.0,0.0,0.0,2.0
2020-05-09,283.0,1.0,434.0,0.0,2728.0,548.0,573.0,166.0,203.0,802.0,407.0,0.0,2.0,27.0,2325.0,586.0,214.0,162.0,152.0,562.0,34.0,1049.0,1410.0,429.0,702.0,288.0,175.0,0.0,275.0,251.0,64.0,1565.0,105.0,2715.0,472.0,39.0,681.0,66.0,92.0,1229.0,17.0,210.0,164.0,248.0,327.0,1453.0,184.0,2.0,854.0,286.0,0.0,349.0,9.0,0.0,1.0,0.0
2020-05-10,262.0,1.0,159.0,265.0,960.0,328.0,570.0,0.0,170.0,595.0,992.0,0.0,1.0,25.0,1656.0,394.0,288.0,122.0,0.0,183.0,28.0,1053.0,1050.0,367.0,481.0,123.0,139.0,0.0,78.0,-51.0,60.0,1359.0,85.0,2273.0,460.0,27.0,384.0,99.0,68.0,1317.0,25.0,285.0,122.0,124.0,217.0,824.0,148.0,6.0,885.0,217.0,37.0,280.0,9.0,0.0,0.0,1.0
2020-05-11,280.0,0.0,264.0,31.0,1808.0,176.0,211.0,288.0,117.0,386.0,422.0,0.0,2.0,30.0,1266.0,501.0,414.0,208.0,237.0,215.0,26.0,786.0,669.0,370.0,528.0,173.0,96.0,1.0,236.0,32.0,89.0,1466.0,206.0,1660.0,336.0,27.0,696.0,24.0,58.0,547.0,58.0,176.0,139.0,97.0,559.0,894.0,111.0,-1.0,989.0,231.0,6.0,199.0,7.0,0.0,3.0,0.0
2020-05-12,304.0,4.0,353.0,121.0,1729.0,278.0,568.0,176.0,96.0,941.0,922.0,1.0,1.0,33.0,4014.0,500.0,539.0,81.0,176.0,235.0,15.0,688.0,870.0,469.0,695.0,234.0,123.0,2.0,125.0,161.0,79.0,727.0,143.0,1430.0,348.0,53.0,473.0,119.0,72.0,830.0,43.0,164.0,135.0,49.0,567.0,1329.0,70.0,1.0,730.0,208.0,12.0,193.0,6.0,0.0,0.0,0.0
2020-05-13,256.0,0.0,480.0,72.0,1835.0,318.0,522.0,211.0,99.0,479.0,503.0,0.0,3.0,0.0,1673.0,346.0,377.0,278.0,0.0,612.0,38.0,751.0,1165.0,370.0,423.0,182.0,139.0,1.0,380.0,163.0,60.0,657.0,152.0,2176.0,730.0,76.0,471.0,126.0,58.0,816.0,30.0,221.0,103.0,69.0,259.0,1426.0,188.0,2.0,946.0,182.0,20.0,291.0,13.0,0.0,0.0,0.0
2020-05-14,339.0,0.0,458.0,130.0,1977.0,363.0,609.0,271.0,152.0,808.0,550.0,0.0,-1.0,58.0,3243.0,580.0,386.0,187.0,372.0,827.0,50.0,1091.0,1685.0,1191.0,518.0,393.0,191.0,0.0,348.0,28.0,83.0,1161.0,139.0,2390.0,616.0,65.0,636.0,105.0,63.0,1003.0,98.0,181.0,159.0,60.0,329.0,1245.0,129.0,3.0,1067.0,261.0,29.0,373.0,13.0,0.0,0.0,0.0
2020-05-15,333.0,5.0,495.0,97.0,1847.0,394.0,621.0,150.0,135.0,928.0,795.0,2.0,1.0,0.0,2432.0,603.0,374.0,181.0,219.0,348.0,38.0,1083.0,1239.0,497.0,805.0,318.0,194.0,4.0,350.0,229.0,71.0,1290.0,159.0,2762.0,526.0,49.0,597.0,124.0,62.0,1017.0,115.0,203.0,218.0,95.0,261.0,1190.0,164.0,1.0,859.0,178.0,20.0,410.0,15.0,0.0,0.0,0.0
2020-05-16,334.0,0.0,497.0,115.0,2044.0,401.0,618.0,174.0,171.0,673.0,440.0,0.0,1.0,68.0,2088.0,624.0,279.0,53.0,244.0,280.0,45.0,982.0,1512.0,459.0,729.0,322.0,179.0,2.0,610.0,80.0,103.0,1109.0,185.0,2419.0,636.0,87.0,520.0,150.0,71.0,1025.0,47.0,215.0,254.0,72.0,303.0,1759.0,155.0,1.0,1011.0,337.0,23.0,502.0,25.0,0.0,2.0,0.0
2020-05-17,309.0,0.0,279.0,181.0,1338.0,305.0,716.0,123.0,81.0,777.0,367.0,0.0,1.0,0.0,1734.0,498.0,323.0,14.0,0.0,315.0,39.0,836.0,1077.0,604.0,699.0,173.0,133.0,0.0,-43.0,136.0,40.0,1420.0,91.0,1889.0,543.0,52.0,449.0,73.0,11.0,540.0,57.0,240.0,155.0,28.0,96.0,980.0,170.0,6.0,705.0,145.0,22.0,356.0,13.0,0.0,0.0,0.0
2020-05-18,301.0,0.0,263.0,54.0,1450.0,264.0,697.0,199.0,147.0,854.0,704.0,0.0,0.0,36.0,2294.0,477.0,304.0,350.0,247.0,277.0,26.0,958.0,1042.0,773.0,704.0,136.0,131.0,2.0,448.0,112.0,56.0,1748.0,158.0,1250.0,534.0,31.0,531.0,88.0,64.0,968.0,64.0,121.0,126.0,40.0,652.0,770.0,146.0,0.0,752.0,178.0,10.0,144.0,12.0,0.0,0.0,0.0
2020-05-19,387.0,12.0,368.0,110.0,2364.0,280.0,314.0,168.0,164.0,502.0,572.0,0.0,1.0,0.0,1545.0,450.0,341.0,50.0,134.0,329.0,28.0,1784.0,873.0,435.0,657.0,272.0,150.0,1.0,229.0,35.0,69.0,1132.0,96.0,1474.0,32.0,63.0,498.0,91.0,39.0,614.0,95.0,156.0,114.0,58.0,401.0,1340.0,134.0,4.0,1005.0,200.0,0.0,198.0,10.0,0.0,0.0,0.0
2020-05-20,361.0,1.0,330.0,80.0,2195.0,315.0,587.0,157.0,117.0,527.0,946.0,0.0,2.0,51.0,2388.0,569.0,324.0,154.0,98.0,278.0,78.0,777.0,1045.0,659.0,641.0,263.0,148.0,7.0,268.0,292.0,147.0,1443.0,125.0,1525.0,1023.0,101.0,484.0,43.0,75.0,843.0,61.0,405.0,119.0,92.0,0.0,1245.0,192.0,0.0,763.0,160.0,65.0,528.0,11.0,0.0,0.0,0.0
2020-05-21,404.0,0.0,442.0,455.0,2108.0,394.0,191.0,192.0,237.0,1204.0,862.0,11.0,4.0,0.0,2270.0,662.0,550.0,118.0,119.0,1188.0,58.0,1208.0,1114.0,501.0,530.0,255.0,166.0,1.0,305.0,12.0,67.0,826.0,155.0,2088.0,250.0,134.0,731.0,148.0,16.0,1129.0,47.0,215.0,206.0,0.0,549.0,1294.0,164.0,6.0,1229.0,146.0,26.0,472.0,14.0,0.0,1.0,0.0
2020-05-22,364.0,3.0,276.0,154.0,2284.0,296.0,432.0,143.0,105.0,776.0,819.0,0.0,-5.0,89.0,2756.0,473.0,322.0,284.0,140.0,421.0,71.0,893.0,805.0,403.0,805.0,403.0,150.0,0.0,235.0,125.0,79.0,1016.0,153.0,1696.0,1598.0,88.0,627.0,169.0,47.0,951.0,117.0,165.0,257.0,179.0,433.0,538.0,183.0,2.0,813.0,148.0,112.0,511.0,2.0,0.0,0.0,0.0
2020-05-23,374.0,4.0,429.0,163.0,2169.0,477.0,382.0,0.0,73.0,676.0,760.0,0.0,1.0,0.0,2352.0,492.0,406.0,37.0,145.0,0.0,65.0,1071.0,773.0,452.0,840.0,380.0,116.0,0.0,301.0,1.0,75.0,565.0,0.0,1772.0,754.0,48.0,614.0,111.0,24.0,786.0,70.0,216.0,257.0,108.0,391.0,1115.0,203.0,2.0,799.0,0.0,0.0,481.0,10.0,0.0,0.0,0.0
