Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming,AmericanSamoa,NorthernMarianaIslands,VirginIslands
14-07-2020,40,0,91,8,146,11,1,0,0,132,28,0,0,1,25,6,2,1,6,22,0,9,10,5,6,22,9,2,-2,19,1,22,3,13,42,1,13,4,7,21,2,1,21,0,18,86,10,0,9,12,0,6,1,0,0,0
15-07-2020,47,0,97,4,134,6,8,0,3,112,37,0,0,7,8,11,20,5,10,16,0,7,28,4,10,18,6,0,5,6,2,52,6,19,18,0,12,4,3,25,2,0,5,2,16,154,7,0,15,3,1,1,0,0,0,0
16-07-2020,19,0,58,6,112,1,9,0,3,156,14,0,0,4,25,10,4,1,5,24,0,6,12,18,8,18,2,1,8,8,1,31,5,19,18,1,21,6,2,26,1,1,72,4,13,170,1,0,15,6,1,4,2,0,0,0
17-07-2020,35,0,91,12,112,6,7,0,3,128,27,0,1,4,13,9,4,1,8,24,1,12,22,7,7,24,4,2,2,11,0,19,3,17,16,1,14,7,5,21,5,2,26,1,19,149,1,0,6,6,1,2,0,0,0,0
18-07-2020,21,1,147,4,88,1,0,2,1,90,37,0,1,1,18,9,4,2,9,0,2,9,17,9,5,14,11,0,0,9,1,15,4,13,25,0,24,6,3,12,1,4,39,0,23,129,8,0,12,7,0,10,0,0,0,0
19-07-2020,1,0,31,0,27,0,0,3,0,87,5,0,0,0,5,9,4,1,3,34,0,9,12,2,3,9,0,0,0,1,2,7,2,17,4,2,29,0,3,9,0,2,20,2,5,84,0,0,2,9,0,1,1,0,0,0
20-07-2020,4,0,23,6,54,6,10,0,1,90,3,0,0,3,6,14,5,3,1,-81,0,5,2,7,4,3,3,2,12,1,0,9,7,11,25,1,24,1,2,3,2,2,9,0,4,112,4,0,4,11,0,2,-1,0,0,0
21-07-2020,12,0,134,11,115,5,0,2,1,134,77,0,0,4,23,9,8,4,3,36,1,20,17,9,3,31,10,1,-3,28,2,22,10,14,28,1,13,9,7,20,0,1,57,0,24,116,4,0,17,12,1,13,1,0,0,0
22-07-2020,61,1,56,6,158,8,0,2,0,139,81,0,1,9,23,13,8,5,3,60,0,3,18,6,4,34,11,2,1,28,2,-30,3,38,27,2,26,13,2,26,5,1,64,1,17,233,9,0,3,8,0,6,0,0,0,1
23-07-2020,33,0,89,6,136,15,4,0,1,173,26,0,1,3,20,10,6,1,7,16,0,4,16,7,9,13,30,1,5,5,3,23,5,36,24,1,23,3,2,16,3,0,49,2,37,196,7,0,3,9,1,13,0,0,0,0
24-07-2020,41,0,80,8,141,4,3,2,0,135,82,0,0,6,17,11,6,8,7,141,0,13,14,5,5,27,6,3,0,13,2,35,5,2,33,2,29,7,9,22,3,0,51,1,13,182,6,0,13,13,1,0,0,0,0,0
25-07-2020,18,1,143,5,88,4,0,2,0,124,51,0,0,0,12,11,0,-1,5,0,1,11,12,0,5,15,5,0,0,10,2,11,6,12,22,0,30,12,0,9,10,3,80,0,26,175,1,0,8,12,0,13,0,0,0,0
26-07-2020,17,0,19,2,37,0,0,1,0,77,4,0,0,2,1,10,3,2,4,48,0,7,19,0,3,15,9,0,0,2,0,11,7,22,6,0,19,0,7,3,0,1,26,1,3,125,0,0,3,15,0,1,0,0,0,0
27-07-2020,18,1,-1,7,52,5,5,1,1,77,11,0,0,6,18,4,7,4,9,23,0,7,7,5,2,5,12,1,1,5,0,17,5,15,21,0,24,0,0,5,0,1,15,0,11,696,7,0,4,8,1,1,0,0,0,0
28-07-2020,0,1,104,20,174,8,5,0,1,186,54,0,0,8,30,6,3,5,10,26,2,11,15,16,4,42,11,4,4,20,0,21,7,8,22,1,31,13,14,24,8,1,59,0,21,213,5,0,13,14,4,13,1,0,0,0
29-07-2020,47,0,46,6,213,15,2,1,1,216,79,0,0,13,16,21,15,9,5,71,0,20,29,1,9,23,7,3,3,21,2,-27,6,5,28,2,34,14,8,14,2,0,50,6,21,258,6,0,30,16,3,5,0,0,0,1
