h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28
1941.500592,2014.666959,2119.608379,2097.661633,2037.960294,1993.80307,1925.89769,1429.341784,1381.612082,1332.930936,1201.242254,1107.056169,1001.669962,892.3499049,619.1735026,513.8181188,477.6851569,378.4182228,311.3077922,269.1101772,269.1101772,269.1101772,269.1101772,269.1101772,269.1101772,269.1101772,269.1101772,269.1101772
2385.803146,2127.299673,2190.345351,2262.059166,2239.861631,2197.325859,2128.747063,2014.430485,1487.249002,1454.545354,1415.99238,1300.080118,1211.224903,1072.747373,901.7356003,598.3377322,517.0852901,488.5982294,401.5012961,332.3090718,283.109366,283.109366,283.109366,283.109366,283.109366,283.109366,283.109366,283.109366
2425.261815,2325.010904,2102.264755,2145.348278,2217.881579,2202.066368,2136.005785,2020.555531,1899.188366,1537.971826,1512.072212,1478.137918,1368.786213,1252.030416,1035.406966,845.4761855,611.4889243,547.4298734,522.4352904,432.6365737,351.9628891,275.0825365,275.0825365,275.0825365,275.0825365,275.0825365,275.0825365,275.0825365
2226.449602,2372.081925,2285.698156,2133.480125,2177.055971,2228.734208,2204.172244,2092.961323,1970.390561,1887.23167,1601.166674,1578.369856,1546.356221,1402.668025,1220.02436,979.4358889,832.9569985,648.48252,592.2770279,566.5071025,461.8075727,335.7454099,255.9850093,255.9850093,255.9850093,255.9850093,255.9850093,255.9850093
2117.452873,2185.746756,2311.234583,2252.202509,2098.245057,2129.291802,2209.551179,2168.201882,2050.131918,1966.148341,1900.29076,1648.4966,1626.990067,1584.924135,1360.149525,1157.300018,971.7527765,856.2694944,694.4113541,636.4623441,606.416268,442.8108838,312.026252,242.4971034,242.4971034,242.4971034,242.4971034,242.4971034
1817.150559,1957.235633,2016.08281,2101.837423,2042.13078,1932.439788,1980.65723,2115.771374,2071.871819,1990.972119,1924.461428,1866.493642,1628.950865,1600.69127,1534.886605,1285.245213,1128.80311,982.5185198,881.1933423,714.3142947,646.749475,599.7989315,430.0646557,316.0564005,261.3061067,261.3061067,261.3061067,261.3061067
1794.065357,1828.165546,1948.873444,1989.087838,2075.822384,2033.282832,1862.926197,1944.098748,2087.54619,2057.466899,1993.398481,1934.855829,1880.168981,1568.037653,1523.830546,1450.745921,1258.216863,1134.878629,1006.528346,902.0600186,707.4897791,601.9117664,553.2023884,405.2407483,315.4656599,265.9377889,265.9377889,265.9377889
2289.556922,2275.744036,2305.127339,2387.615493,2428.289423,2490.085706,2424.019252,2137.2292,2223.408148,2321.696101,2297.874843,2241.481877,2186.2527,2114.394155,1626.120243,1577.022511,1520.658003,1368.868982,1260.65186,1128.320096,1006.516744,702.4777589,592.9446428,550.4834522,433.9719827,352.7601994,303.0304826,303.0304826
2295.850991,2538.017723,2526.115495,2546.195162,2629.625922,2658.605121,2754.578426,2643.357622,2338.879509,2397.927982,2475.767006,2454.799555,2401.598394,2329.027228,2216.617323,1674.325739,1636.460463,1592.022946,1458.843066,1347.269004,1192.978677,1002.646549,687.2178287,591.7350546,558.2992553,452.9013729,371.3586192,314.4605875
2085.556215,2218.335245,2427.004422,2418.870797,2439.179918,2498.622333,2543.628754,2705.196802,2587.116345,2378.492685,2425.256051,2493.769892,2473.989185,2404.082832,2290.558159,2165.712363,1747.484894,1717.632085,1678.642551,1541.331376,1411.243193,1170.146329,972.6840877,697.7169333,622.5296192,592.2831339,486.4557133,393.1589384
1854.87373,2029.02926,2143.441718,2286.039969,2277.813399,2292.283161,2384.600767,2460.367666,2631.900583,2550.993694,2385.774442,2426.935516,2491.571518,2465.57966,2356.223613,2230.139721,2133.855835,1804.127225,1777.934333,1737.735327,1577.639326,1374.361172,1124.232475,952.0996694,735.5785009,667.5630195,637.1932677,516.1113004
1908.176278,1833.158985,1983.224565,2061.410604,2205.638348,2199.777115,2222.249515,2377.663311,2458.103208,2575.634891,2511.560779,2366.134938,2404.966322,2489.898062,2449.238426,2327.784335,2230.545601,2154.635829,1865.331531,1838.326124,1791.456668,1541.287753,1330.394509,1112.351028,976.8061251,780.9380895,712.645418,677.8980031
1690.393379,1866.198839,1801.558264,1904.108576,1983.18806,2085.946868,2076.844024,2114.675605,2279.674701,2334.790865,2427.869937,2371.47196,2234.277125,2285.301584,2418.162175,2373.004369,2279.336242,2202.673673,2136.070342,1837.791704,1806.305135,1733.066073,1473.525473,1289.684524,1117.987547,995.3717586,798.7054829,720.5687299
1408.444871,1705.295057,1856.782342,1812.608914,1916.331085,1972.67332,2132.263863,2116.939511,2157.104392,2270.159201,2313.80838,2395.736498,2342.530609,2162.256527,2242.075211,2389.634151,2354.807435,2280.959915,2213.69608,2145.026686,1797.252972,1748.05149,1672.068788,1445.820714,1301.056308,1145.736854,1022.621357,797.6065223
1749.892109,1824.480305,2080.268883,2183.790746,2139.11254,2213.012099,2300.514943,2569.180616,2552.91112,2580.43147,2669.965089,2708.385058,2785.676098,2715.763533,2433.756816,2522.40583,2636.206603,2608.749381,2543.955474,2474.605086,2394.540989,1851.103476,1800.058836,1733.822802,1555.665169,1424.70929,1268.756848,1127.894806
2141.107827,1934.4887,1998.759533,2173.557767,2278.262591,2246.430442,2361.200853,2508.509146,2793.745041,2782.597435,2804.392143,2883.199556,2919.44498,3021.005446,2911.639681,2598.434602,2666.802715,2756.522721,2732.431719,2665.627878,2584.769785,2459.660174,1895.864714,1851.367817,1799.210666,1638.046814,1506.557237,1328.124952
2482.035816,2145.198584,1967.159913,2011.08067,2187.876353,2262.476029,2213.038807,2406.251196,2562.644873,2758.084065,2749.255732,2768.439415,2842.78638,2890.412886,3049.286161,2927.821276,2686.270473,2740.171579,2818.892025,2794.05371,2716.164727,2589.814405,2460.018009,1968.543317,1933.504513,1886.322435,1724.501776,1574.058568
2147.285218,2350.080582,2059.83614,1938.169857,1982.592505,2108.555188,2224.412922,2141.186909,2346.315864,2453.474375,2608.252203,2600.481513,2618.579412,2716.271361,2790.774553,2967.223955,2873.547504,2683.109964,2730.402862,2811.565249,2782.605372,2660.894633,2529.811047,2416.664262,2029.655586,1997.959,1950.584636,1765.438257
1764.328656,1977.356743,2152.10057,1953.756233,1830.699649,1862.34972,2057.977261,2253.020123,2164.661063,2305.212227,2390.076279,2526.311588,2518.980713,2542.761362,2695.58303,2778.3285,2914.410248,2840.556165,2673.466027,2722.225971,2816.856096,2771.602866,2645.332669,2531.063808,2441.967079,2091.873692,2060.04793,2005.844765
