Date,Confirmed,Deaths,Recovered,Active,People_Tested,People_Hospitalized,Mortality_Rate,Total_Test_Results,Case_Fatality_Ratio,cumulative_Confirmed,cumulative_Deaths,cumulative_Recovered,cumulative_Active,cumulative_People_Tested,cumulative_People_Hospitalized
2020-11-11,-18213528.0,-271388.0,-6720697.0,1121891.0,0.0,0.0,0.0,-191630439.0,24.528496389907545,10504198.0,242805.0,3997175.0,3158406.0,0.0,0.0
2020-12-06,4441690.0,42778.0,1627269.0,1486693.0,0.0,0.0,0.0,44748205.0,-19.771089627798517,14945888.0,285583.0,5624444.0,4645099.0,0.0,0.0
2021-01-28,10942486.0,154368.0,4773997.0,2088068.0,0.0,0.0,0.0,99056115.0,-7.580190348200588,25888374.0,439951.0,10398441.0,6733167.0,0.0,0.0
2021-12-02,22947412.0,347616.0,-10398441.0,-6733167.0,0.0,0.0,0.0,386127221.0,-8.545673551222762,48835786.0,787567.0,0.0,0.0,0.0,0.0
2021-03-24,-18753737.0,-242580.0,0.0,0.0,0.0,0.0,0.0,-307641737.0,11.315230087422947,30082049.0,544987.0,0.0,0.0,0.0,0.0
2020-12-05,-15315366.0,-260807.0,5576026.0,4570673.0,0.0,0.0,0.0,-179173030.0,5.576583143996231,14766683.0,284180.0,5576026.0,4570673.0,0.0,0.0
2021-06-23,18889144.0,318197.0,-5576026.0,-4570673.0,0.0,0.0,0.0,280472521.0,-8.27381246864502,33655827.0,602377.0,0.0,0.0,0.0,0.0
2021-01-13,-10432440.0,-211064.0,9100695.0,6528058.0,0.0,0.0,0.0,-208988740.0,-0.6960649261765752,23223387.0,391313.0,9100695.0,6528058.0,0.0,0.0
2020-12-09,-7635304.0,-98407.0,-3210799.0,-1700023.0,0.0,0.0,0.0,-64356845.0,6.660854931392535,15588083.0,292906.0,5889896.0,4828035.0,0.0,0.0
2020-11-23,-3040186.0,-33147.0,-1256296.0,-906238.0,0.0,0.0,0.0,-29158103.0,8.836892838252268,12547897.0,259759.0,4633600.0,3921797.0,0.0,0.0
2021-06-03,20854015.0,335804.0,-4633600.0,-3921797.0,0.0,0.0,0.0,288240118.0,-15.096855843974382,33401912.0,595563.0,0.0,0.0,0.0,0.0
2020-11-07,-23392008.0,-357023.0,3851465.0,2939391.0,161699935.0,0.0,123.43359034379131,-476738958.0,-92.70790585823367,10009904.0,238540.0,3851465.0,2939391.0,161699935.0,0.0
2021-09-12,31100561.0,422123.0,-3851465.0,-2939391.0,-161699935.0,0.0,-123.43359034379131,579010271.0,84.39561058904788,41110465.0,660663.0,0.0,0.0,0.0,0.0
2021-04-13,-9691011.0,-97902.0,0.0,0.0,0.0,0.0,0.0,-161508342.0,9.578431556932642,31419454.0,562761.0,0.0,0.0,0.0,0.0
