x,h1
319,3839.827277
320,4540.014265
321,4177.40573
322,3466.622167
323,3406.577967
324,2107.953709
325,2272.097898
326,3810.552714
327,3720.377668
328,4011.252714
329,3718.966978
330,3191.660369
331,2049.68317
332,2145.940488
333,3853.380594
334,4400.884167
335,4046.213452
336,3626.99613
337,3187.44289
338,1789.056597
339,2140.124325
340,4013.654
341,3927.24183
342,3795.812703
343,3342.087
344,2996.819306
345,1698.798362
346,1720.553839
347,3324.426187
348,3459.351913
349,3173.533073
350,2780.375011
351,2498.077338
352,1334.514805
353,1356.094172
354,2292.770712
355,2414.84772
356,2434.004386
357,2276.786385
358,2101.82016
359,1088.145042
360,1114.585886
361,2146.036139
362,2327.399032
363,2513.786047
364,2038.468876
365,1669.835837
366,923.0281193
367,1085.606719
368,2348.591401
369,2173.996507
370,2027.441487
371,1721.129588
372,1432.431109
373,883.4145607
374,857.1002626
375,1403.297475
376,1886.614044
377,1570.063821
378,1491.492254
379,1230.221931
380,634.3984571
381,642.447241
382,1383.91905
383,1449.937843
384,1267.928452
385,1381.919852
386,923.8999711
387,529.9214581
388,642.1691601
389,1153.149322
390,1249.63235
391,1338.788128
392,1160.373679
393,854.7841981
394,508.4725513
395,629.2586112
396,1022.280849
397,1305.759325
398,1072.330935
399,1037.955096
400,777.616047
401,467.2704818
402,464.3981115
403,901.7863327
404,1084.13722
405,1580.797204
406,1156.02761
407,678.2943393
408,427.346001
409,512.4754946
410,850.402077
411,1253.445088
412,1045.850145
413,880.8968268
414,696.0489038
415,382.2171534
416,509.7249767
417,856.2970086
418,1408.855078
419,1027.306885
420,882.5305483
421,605.430775
422,410.1655823
423,493.3465728
424,755.9699986
425,941.0260764
426,954.8924861
427,801.5755565
428,620.2185623
429,321.6077245
430,497.6308279
431,746.3594017
432,1239.605042
433,803.4356965
434,711.998095
435,606.1830666
436,296.6772335
437,411.5438029
438,648.8292363
439,868.7557286
440,741.1825649
441,647.994912
442,527.92684
443,228.2991212
444,363.096018
445,617.9494825
446,773.0586185
447,673.6847438
448,558.8175927
449,480.2198653
450,231.7523686
451,315.8323408
452,556.372508
453,648.6225222
454,709.4776347
455,742.2352549
456,535.7638975
457,168.8079972
458,266.524557
459,345.0104304
460,628.2597241
461,638.5255031
462,443.3946765
463,323.7719393
464,153.0577588
465,238.2123914
466,524.3250875
467,458.6285412
468,524.9609468
469,364.8191876
470,350.3768581
471,151.9930537
472,181.6732008
473,325.2458977
474,375.0212109
475,420.9728598
476,300.6889228
477,266.8509733
478,113.0478625
479,160.9548217
480,321.2884464
481,366.6522441
482,389.0493053
483,347.9032981
484,205.6417431
485,87.00910906
486,144.0224686
487,293.1055187
488,329.560802
489,315.7089213
490,327.6401744
491,170.3912461
492,73.69161394
493,129.5652398
494,166.5917115
495,270.6639935
496,299.3230666
497,318.395105
498,103.1134773
499,52.57769898
500,91.78688539
501,268.1012776
502,287.4931776
503,260.714836
504,457.5818816
505,117.489455
506,40.76726704
507,145.3584771
508,357.2378542
509,297.0316068
510,319.5878124
511,443.3381783
512,125.3678344
513,76.58922349
514,161.8278956
515,389.7143083
516,372.6621738
517,464.5872956
518,569.1804197
519,156.6450292
520,85.75320919
521,271.1464179
522,568.5311358
523,508.0895956
524,493.8154621
525,889.3545525
526,213.5949172
527,120.3242158
528,489.8204657
529,791.7545119
530,789.0992568
